PlaceReference,Status,Name,Address,LGA
600220,Entered,"Anning Monument (Boer War Memorial)","cnr Boonoo Street, Hemmant","Brisbane City Council"
601628,Entered,"Antbed House","South Street, Georgetown","Etheridge Shire Council"
600157,Entered,"ANZ Bank","43 Queen Street, Brisbane City","Brisbane City Council"
602678,Entered,"Anzac Avenue Memorial Trees","Anzac Avenue, Beerburrum","Sunshine Coast Regional Council"
602693,Entered,"Anzac Memorial Avenue (former)","Anzac Avenue, Redcliffe","Moreton Bay Regional Council"
600934,Entered,"Anzac Memorial Park and adjacent Banyan trees","The Strand, Townsville","Townsville City Council"
600062,Entered,"Anzac Square","228 Adelaide Street, Brisbane City","Brisbane City Council"
600919,Entered,"Aplin Brown & Company Building (former)","232-234 Flinders Street, Townsville","Townsville City Council"
600607,Entered,"Apple Tree Creek War Memorial","Bruce Highway, Apple Tree Creek","Bundaberg Regional Council"
602842,Entered,"Aramac State School","69 Porter Street, Aramac","Barcaldine Regional Council"
601172,Entered,"Aramac Tramway Museum","Boundary Street, Aramac","Barcaldine Regional Council"
600008,Entered,"Aramac War Memorial","Lodge Street, Aramac","Barcaldine Regional Council"
600777,Entered,"Archer Park Railway Station","Denison Street, Rockhampton","Rockhampton Regional Council"
602150,Entered,"Archerfield Second World War Igloos Complex","98-138 Kerry Road, Archerfield","Brisbane City Council"
600436,Entered,"Argyle Homestead","New England Highway, Geham","Toowoomba Regional Council"
600853,Entered,"Ascot House","15 Newmarket Street, Toowoomba","Toowoomba Regional Council"
650044,Entered,"Ascot State School","Pringle Street, Ascot","Brisbane City Council"
650267,Entered,"Ashgrove Methodist Church (former)","24-30 Ashgrove Avenue, Ashgrove","Brisbane City Council"
650058,Entered,"Ashgrove State School","31 Glory Street, Ashgrove","Brisbane City Council"
602245,Entered,"Aspasia Mine and Battery","Gulf Development Road, Georgetown","Etheridge Shire Council"
601692,Entered,"Assay Office & Store, Mareeba","167 Walsh Street, Mareeba","Mareeba Shire Council"
601289,Entered,"Assmanshausen Winery and Residence (former)","Serisier Road, Warwick","Southern Downs Regional Council"
601473,Entered,Astolat,"96 Kadumba Street, Yeronga","Brisbane City Council"
602352,Entered,"Astor Theatre","77 Burrowes Street, Surat","Maranoa Regional Council"
600341,Entered,Astrea,"19 Bank Street, West End","Brisbane City Council"
650001,Entered,"Atherton Performing Arts Theatre (WWII Igloo)","6 Silo Street, Atherton","Tablelands Regional Council"
602765,Entered,"Atherton War Cemetery","Cnr Kennedy Highway and Rockley Road, Atherton","Tablelands Regional Council"
600012,Entered,"Atherton War Memorial","Kennedy Highway, Atherton","Tablelands Regional Council"
600167,Entered,"Athol Place","307 Wickham Terrace, Spring Hill","Brisbane City Council"
600900,Entered,"Atinee Building","205-207 Flinders Street, Townsville","Townsville City Council"
600897,Entered,"Atkinson & Powell Building (former)","181-183 Flinders Street, Townsville","Townsville City Council"
602505,Entered,"Austral Motors Building (former)","95 Boundary Street, Fortitude Valley","Brisbane City Council"
600407,Entered,"Australian Bank of Commerce (former)","86 Mosman Street, Charters Towers","Charters Towers Regional Council"
600321,Entered,"Australian Estates No.1 Store","50 Macquarie Street, Teneriffe","Brisbane City Council"
600320,Entered,"Australian Estates No.2 Store","24 Macquarie Street, Teneriffe","Brisbane City Council"
602635,Entered,"Australian Inland Mission Hospital (former)","Adelaide Street, Birdsville","Diamantina Shire Council"
602772,Entered,"Australian Joint Stock Bank (former)/Gympie Stock Exchange Offices and Club (former)","236 Mary Street, Gympie","Gympie Regional Council"
600693,Entered,"Australian Joint Stock Bank (former)","331 Kent Street, Maryborough","Fraser Coast Regional Council"
600895,Entered,"Australian Joint Stock Bank (former)","173 Flinders Street, Townsville","Townsville City Council"
600890,Entered,"Australian Meat Industry Employees Union (Queensland Branch)","101-111 Flinders Street, Townsville","Townsville City Council"
600327,Entered,"Australian Mercantile Land & Finance Woolstores","34 Vernon Terrace, Teneriffe","Brisbane City Council"
602159,Entered,"Australian Mutual Provident Society Building (former)","416-418 Flinders Street, Townsville","Townsville City Council"
600813,Entered,Avonleigh,"248 Quay Street, Rockhampton","Rockhampton Regional Council"
600404,Entered,"Ay Ot Lookout","63 Hodgkinson Street, Charters Towers","Charters Towers Regional Council"
601126,Entered,"Ayr Court House","163 Queen Street, Ayr","Burdekin Shire Council"
650273,Entered,"Ayr Masonic Temple","118-120 Macmillan Street, Ayr","Burdekin Shire Council"
601574,Entered,"Ayr State High School","82-90 Wickham Street, Ayr","Burdekin Shire Council"
602743,Entered,"Babinda Air Raid Shelter","109 Munro Street, Babinda","Cairns Regional Council"
602189,Entered,"Babinda Hotel","65-85 Munro Street, Babinda","Cairns Regional Council"
600690,Entered,"Baddow House","366 Queen Street, Maryborough","Fraser Coast Regional Council"
601825,Entered,"BAFS Building","331 & 333 George Street, Brisbane City","Brisbane City Council"
601161,Entered,"Baillie Henderson Hospital","1 Hogg Street, Toowoomba","Toowoomba Regional Council"
600626,Entered,Bakery,"82 Churchill Street, Childers","Bundaberg Regional Council"
600832,Entered,"Ballandean Homestead","Ballandean, Ballandean","Southern Downs Regional Council"
600164,Entered,"Ballow Chambers","121 Wickham Terrace, Spring Hill","Brisbane City Council"
601530,Entered,"Balmoral Fire Station","105 Pashen Street, Morningside","Brisbane City Council"
602755,Entered,"Banfield Memorial Reserve and Grave","Dunk Island","Cassowary Coast Regional Council"
602775,Entered,"Bank of New South Wales (former)","242 Mary Street, Gympie","Gympie Regional Council"
602804,Entered,"Bank of New South Wales (former)","34-36 Gill Street, Charters Towers","Charters Towers Regional Council"
600512,Entered,"Bank of New South Wales premises and attached residence (former)","7 Railway Street, Helidon","Lockyer Valley Regional Council"
602702,Entered,"Bankfoot House","1998 Old Gympie Road, Glass House Mountains","Sunshine Coast Regional Council"
602573,Entered,"Baptist Church and Memorial Gate (former), Ipswich","188 Brisbane Street, Ipswich","Ipswich City Council"
600175,Entered,"Baptist City Tabernacle","163 Wickham Terrace, Spring Hill","Brisbane City Council"
600644,Entered,"Barambah Homestead","Goomeri Road, Goomeri","Gympie Regional Council"
600020,Entered,"Barcaldine Masonic Temple","24 Beech Street, Barcaldine","Barcaldine Regional Council"
601274,Entered,"Barcaldine Shire Hall & Offices","71 Ash Street, Barcaldine","Barcaldine Regional Council"
600018,Entered,"Barcaldine War Memorial Clock","cnr Ash and Beech Streets, Barcaldine","Barcaldine Regional Council"
602242,Entered,"Barclay's Battery","Collinsville road, Mount Coolon","Whitsunday Regional Council"
600053,Entered,"Bardon House","41 The Drive, Bardon","Brisbane City Council"
602071,Entered,"Baree School of Arts","Creek Street, Baree","Rockhampton Regional Council"
600956,Entered,"Barnes and Co. Trading Place","118 Palmerin Street, Warwick","Southern Downs Regional Council"
600277,Entered,"Baroona Labor Hall","15-17 Caxton Street, Petrie Terrace","Brisbane City Council"
600278,Entered,"Baroona Special School","1 Hale Street, Petrie Terrace","Brisbane City Council"
600289,Entered,Baroona,"90 Howard Street, Paddington","Brisbane City Council"
601608,Entered,"Barrier Reef Hotel","Abbott Street, Cairns","Cairns Regional Council"
602587,Entered,"Barron Valley Hotel","53 Main Street, Atherton","Tablelands Regional Council"
600409,Entered,"Bartlam's Store (former)","Mosman Street, Charters Towers","Charters Towers Regional Council"
602492,Entered,"BCC Tramways Substation No. 6 and Windsor Town Quarry Park (former)","356 Lutwyche Road, Windsor","Brisbane City Council"
600547,Entered,"Beaconsfield Station Sheep Wash (former)","Beaconsfield Station, Ilfracombe","Longreach Regional Council"
600028,Entered,"Beaudesert War Memorial","William Street, Beaudesert","Scenic Rim Regional Council"
601786,Entered,"Bedford Playground","8 Love Street, Spring Hill","Brisbane City Council"
650098,Entered,"Bedourie Pisé House and Aboriginal Tracker's Hut","5 Herbert Street, Bedourie","Diamantina Shire Council"
602470,Entered,"Beenleigh Rum Distillery","Distillery Road, Beenleigh","Logan City Council"
602326,Entered,"Bell Park","Hill Street, Emu Park","Livingstone Shire Council"
600399,Entered,"Bell Tower, St Columba's Church","134 Gill Street, Charters Towers","Charters Towers Regional Council"
600492,Entered,"Bellevue Homestead","Bellvue Homestead, Coominya","Somerset Regional Council"
600311,Entered,Bellmount,"71 St Pauls Terrace, Spring Hill","Brisbane City Council"
600292,Entered,"Berry & MacFarlane Monument","Sherwood Road, Sherwood","Brisbane City Council"
650233,Entered,"Berserker Street State School","Berserker Street, Berserker","Rockhampton Regional Council"
600263,Entered,Bertholme,"71-73 Moray Street, New Farm","Brisbane City Council"
601834,Entered,"Bess Street Brick Cottages","22, 25-27 Bess Street, Windsor","Brisbane City Council"
600215,Entered,Beth-Eden,"85 Bank Road, Graceville","Brisbane City Council"
600002,Entered,"Bethania Lutheran Church","Church Road, Bethania","Logan City Council"
602323,Entered,"Big Fig","Station Street, Miriam Vale","Gladstone Regional Council"
601899,Entered,"Binna Burra Cultural Landscape","Binna Burra Road, Beechmont","Scenic Rim Regional Council"
600460,Entered,"Birdsville Aboriginal Tracker’s Hut, Courthouse and Police Complex (former)","23 Macdonald Street, Birdsville","Diamantina Shire Council"
600461,Entered,"Birdsville Hotel","Burt Street, Birdsville","Diamantina Shire Council"
600845,Entered,"Bishop's House","73 Margaret Street, Toowoomba","Toowoomba Regional Council"
601747,Entered,"Bishop's House","Abbott Street, Cairns","Cairns Regional Council"
600883,Entered,"Bishop's Lodge","13 St James Drive, Belgian Gardens","Townsville City Council"
600032,Entered,"Blackall Masonic Temple","Hawthorn Street, Blackall","Blackall-tambo Regional Council"
600033,Entered,"Blackall Woolscour","4km northeast of Blackall, Blackall","Blackall-tambo Regional Council"
650244,Entered,"Blenheim State School","81 Blenheim Road, Blenheim","Lockyer Valley Regional Council"
600005,Entered,"Boer War Memorial and Park","Warwick Street, Allora","Southern Downs Regional Council"
600510,Entered,"Boer War Memorial","Crescent Street, Gatton","Lockyer Valley Regional Council"
600397,Entered,"Boer War Veterans Memorial Kiosk and Lissner Park","Bridge Street, Charters Towers","Charters Towers Regional Council"
601033,Entered,"Boggo Road Gaol Complex","150 Annerley Road, Dutton Park","Brisbane City Council"
602536,Entered,"Bolands Centre","Lake Street, Cairns","Cairns Regional Council"
601724,Entered,"Booby Island Lightstation","Booby Island, Booby Island","Torres Shire Council"
601516,Entered,"Boolboonda Railway Tunnel","Tunnel Road, Gin Gin","Bundaberg Regional Council"
602172,Entered,"Boolboonda State Primary School (former)","Boolboonda Tunnel Road, Gin Gin","Bundaberg Regional Council"
600035,Entered,"Boonah War Memorial and Memorial Park","Park Street, Boonah","Scenic Rim Regional Council"
600288,Entered,Boondah,"50 Howard Street, Paddington","Brisbane City Council"
600967,Entered,"Boondooma Homestead","8262 Mundubbera - Durong Road, Boondooma","South Burnett Regional Council"
600352,Entered,Boothville,"43 Seventh Avenue, Windsor","Brisbane City Council"
600639,Entered,"Booubyjan Homestead","Booubyjan Rd, Booubyjan","Gympie Regional Council"
600549,Entered,"Booval House","14 Cothill Road, Booval","Ipswich City Council"
600550,Entered,"Booval War Memorial","Green Street, Booval","Ipswich City Council"
600563,Entered,"Bostock Chambers","169-175 Brisbane Street, Ipswich","Ipswich City Council"
600039,Entered,"Boulia Stone House","Pituri Street, Boulia","Boulia Shire Council"
602065,Entered,"Bourbong Street Weeping Figs","Bourbong Street, Bundaberg","Bundaberg Regional Council"
601850,Entered,"Bowen Consolidated Colliery","Station Street and Second Avenue Collinsville, Collinsville","Whitsunday Regional Council"
600044,Entered,"Bowen Court House","30 Williams Street, Bowen","Whitsunday Regional Council"
600041,Entered,"Bowen Harbour Board Building (former)","6 Herbert Street, Bowen","Whitsunday Regional Council"
601523,Entered,"Bowen Park","3 Bowen Bridge Road, Bowen Hills","Brisbane City Council"
600042,Entered,"Bowen River Hotel","Strathbowen-Leichhardt Range Road, Collinsville","Whitsunday Regional Council"
602817,Entered,"Bowen State School","29 Kennedy Street, Bowen","Whitsunday Regional Council"
601863,Entered,"Bower Bird Battery","Mount Isa Mining District, Mount Isa","Mount Isa City Council"
601311,Entered,"Boyce Gardens","6 Range Street, Toowoomba","Toowoomba Regional Council"
602351,Entered,"Braeside Homestead","Crystal Mount Road, Rosenthal","Southern Downs Regional Council"
602852,Entered,"Branyan Road State School","Branyan Drive, Bundaberg","Bundaberg Regional Council"
600057,Entered,"Breakfast Creek Hotel","2 Kingsford Smith Drive, Albion","Brisbane City Council"
602745,Entered,"Breddan Airfield","Gregory Developmental Road, Charters Towers","Charters Towers Regional Council"
602568,Entered,"Bremer River Rail Bridge and pylons and abutments of old bridges","off Bremer Street, North Ipswich","Ipswich City Council"
600704,Entered,"Brennan & Geraghtys Store & two adjacent buildings and stables","62-66 Lennox Street, Maryborough","Fraser Coast Regional Council"
601143,Entered,"Bribie Island Second World War Fortifications","North Street, Bribie Island","Moreton Bay Regional Council"
602185,Entered,"Brick Cottage","8 Simon Street, Gayndah","North Burnett Regional Council"
600590,Entered,Brickstone,"11 Murphy Street, Ipswich","Ipswich City Council"
600343,Entered,"Brighton Terrace","30 Sussex Street, West End","Brisbane City Council"
600058,Entered,"Brisbane Arcade","160 Queen Street, Brisbane City","Brisbane City Council"
600067,Entered,"Brisbane Botanic Gardens","147 Alice Street, Brisbane City","Brisbane City Council"
600337,Entered,"Brisbane Boys College","55 Moggill Road, Toowong","Brisbane City Council"
600312,Entered,"Brisbane Central State School","134 Rogers Street, Spring Hill","Brisbane City Council"
601728,Entered,"Brisbane Central Technical College (former)","2 George Street, Brisbane City","Brisbane City Council"
601511,Entered,"Brisbane City Council Carpark","136 Wickham Terrace, Spring Hill","Brisbane City Council"
602410,Entered,"Brisbane City Council Tramway Substation No 9 (former)","97 Wynnum Road, Norman Park","Brisbane City Council"
602411,Entered,"Brisbane City Council Tramways Substation No. 8 (former)","134 Kedron Park Road, Wooloowin","Brisbane City Council"
600065,Entered,"Brisbane City Hall","64 Adelaide Street, Brisbane City","Brisbane City Council"
600156,Entered,"Brisbane Customs House (former)","427 Queen Street, Brisbane City","Brisbane City Council"
601909,Entered,"Brisbane Dental Hospital and College","168 Turbot Street, Brisbane City","Brisbane City Council"
601709,Entered,"Brisbane Exhibition Grounds","574 Gregory Terrace, Bowen Hills","Brisbane City Council"
601903,Entered,"Brisbane General Hospital Precinct","40 Bowen Bridge Road, Herston","Brisbane City Council"
600124,Entered,"Brisbane Grammar School","24 Gregory Terrace, Spring Hill","Brisbane City Council"
600072,Entered,"Brisbane School of Arts","166 Ann Street, Brisbane City","Brisbane City Council"
601222,Entered,"Brisbane State High School","Cnr Cordelia and Glenelg Streets, South Brisbane","Brisbane City Council"
600354,Entered,"Broadway Hotel","93 Logan Road, Woolloongabba","Brisbane City Council"
600969,Entered,"Brooweena War Memorial","Smith Crescent, Brooweena","Fraser Coast Regional Council"
600166,Entered,Bryntirion,"287 Wickham Terrace, Spring Hill","Brisbane City Council"
601176,Entered,"Buderim House","10 Orme Road, Buderim","Sunshine Coast Regional Council"
650089,Entered,"Buderim Mountain State School","8-42 Main Street, Buderim","Sunshine Coast Regional Council"
602211,Entered,"Bulimba Ferry Terminal","Oxford Street, Bulimba","Brisbane City Council"
600179,Entered,"Bulimba House","34 Kenbury Street, Bulimba","Brisbane City Council"
600180,Entered,"Bulimba Memorial Park","129 Oxford Street, Bulimba","Brisbane City Council"
601874,Entered,"Bulimba State School","261 Oxford Street, Bulimba","Brisbane City Council"
601683,Entered,"Bullamon Homestead","Moonie River, Thallon","Balonne Shire Council"
601582,Entered,"Bulletin Building","162-164 Quay Street, Rockhampton","Rockhampton Regional Council"
602188,Entered,"Bulolo Flats","9 McLachlan Street, Fortitude Valley","Brisbane City Council"
601533,Entered,"Bundaberg Central State School","13 Crofton Street, Bundaberg","Bundaberg Regional Council"
601762,Entered,"Bundaberg Police Station Complex (former)","Quay Street, Bundaberg","Bundaberg Regional Council"
600362,Entered,"Bundaberg School of Arts","184 Bourbong Street, Bundaberg","Bundaberg Regional Council"
650046,Entered,"Bundaberg State High School","37A Maryborough Street, Bundaberg South","Bundaberg Regional Council"
600364,Entered,"Bundaberg War Memorial","Bourbong Street, Bundaberg","Bundaberg Regional Council"
600365,Entered,"Bundaberg War Nurses Memorial and Park","Bourbong Street, Bundaberg","Bundaberg Regional Council"
650045,Entered,"Buranda State School","24 Cowley Street, Buranda","Brisbane City Council"
601081,Entered,"Burdekin River Pumping Station (former)","Weir Road, Charters Towers","Charters Towers Regional Council"
600442,Entered,"Burdekin River Rail Bridge (former)","Stuart - Hughenden Line, Macrossan","Charters Towers Regional Council"
601922,Entered,"Burdekin Shire Council Chambers","145 Young Street, Ayr","Burdekin Shire Council"
601073,Entered,"Burke and Wills Dig Tree","Nappa Merrie Station, Thargomindah","Bulloo Shire Council"
645622,Entered,"Burke and Wills Expedition Plant Camp",Betoota,"Diamantina Shire Council"
602156,Entered,"Burke and Wills' Camp B/CXIX and Walker's Camp, Little Bynoe River","Burke and Wills Access Road (Private Road), Normanton","Carpentaria Shire Council"
600375,Entered,"Burketown Boiling Down Works (former)","Truganinni Road, Burketown","Burke Shire Council"
600373,Entered,"Burketown Tourist Information Centre","Musgrave Street, Burketown","Burke Shire Council"
600524,Entered,Burndale,"Cutmore's Road, Swan Creek","Southern Downs Regional Council"
600368,Entered,"Burnett Bridge","Quay Street, Bundaberg","Bundaberg Regional Council"
602781,Entered,"Burns Philp Building (former)","cnr Landsborough Street and Caroline Street, Normanton","Carpentaria Shire Council"
600914,Entered,"Burns, Philp & Company Ltd Building (former)","108-124 Flinders Street, Townsville","Townsville City Council"
600648,Entered,"Burrandowan Station Homestead","Kingaroy Road, Kingaroy","South Burnett Regional Council"
601260,Entered,"Bustard Head Lightstation","50kms south of Gladstone, Bustard Head","Gladstone Regional Council"
600482,Entered,"Butchers Shop","2 Kehoe Place, Yungaburra","Tablelands Regional Council"
600803,Entered,"C J Edwards Chambers","174 Quay Street, Rockhampton","Rockhampton Regional Council"
601273,Entered,"Cactoblastis Memorial Hall","Warrego Highway, Boonarga","Western Downs Regional Council"
600811,Entered,"Cahill's Stores (former)","232 - 234 Quay Street, Rockhampton","Rockhampton Regional Council"
601576,Entered,"Cairns City Council Chambers","151 Abbott Street, Cairns","Cairns Regional Council"
600376,Entered,"Cairns Court House Complex","38 - 40 Abbott Street, Cairns","Cairns Regional Council"
600377,Entered,"Cairns Customs House (former)","6A-8A Abbott Street, Cairns","Cairns Regional Council"
601539,Entered,"Cairns Masonic Temple","8 Minnie Street, Cairns","Cairns Regional Council"
600481,Entered,"Cairns Plywood Pty Ltd Sawmill Complex","25 - 33 Eacham Road, Yungaburra","Tablelands Regional Council"
600755,Entered,"Cairns Railway, Section from Redlynch to Crooked Creek Bridge",Kuranda,"Mareeba Shire Council"
602834,Entered,"Cairns Technical College and High School Building","Sheridan Street, Cairns","Cairns Regional Council"
600378,Entered,"Cairns War Memorial","The Esplanade, Cairns","Cairns Regional Council"
601790,Entered,"Cairns Wharf Complex","Wharf Street, Cairns","Cairns Regional Council"
600259,Entered,Cairnsville,"41 Balfour Street, New Farm","Brisbane City Council"
600449,Entered,"Cake Shop, Ravenswood","Macrossan Street, Ravenswood","Charters Towers Regional Council"
600804,Entered,"Callianiotis Constructions","178 Quay Street, Rockhampton","Rockhampton Regional Council"
602746,Entered,"Caloundra Lighthouses","6 Arthur Street and 3 Canberra Terrace Kings Beach, Caloundra","Sunshine Coast Regional Council"
602806,Entered,"Cameron Corner","South-west Queensland, at the border corner with New South Wales and South Australia., Cameron Corner","Bulloo Shire Council"
600014,Entered,"Cameron's 1 Ton Survey Post","Barwon River, Mungindi","Balonne Shire Council"
602166,Entered,"Canambie Homestead","12 Dixon Road, Buderim","Sunshine Coast Regional Council"
602041,Entered,"Canecutters Memorial","Fitzgerald Esplanade, Innisfail","Cassowary Coast Regional Council"
600525,Entered,"Canning Downs Homestead","Canning Downs, Warwick","Southern Downs Regional Council"
602854,Entered,"Cannon Hill State School","845 Wynnum Road, Cannon Hill","Brisbane City Council"
601723,Entered,"Cape Capricorn Lightstation","North eastern  tip of Curtis Island, Cape Capricorn","Gladstone Regional Council"
601794,Entered,"Cape Cleveland Lightstation","Cape Cleveland, Cape Cleveland","Townsville City Council"
600257,Entered,"Cape Moreton Lightstation","Cape Moreton, Moreton Island","Brisbane City Council"
602133,Entered,"Cape Pallarenda Quarantine Station (former)","1 The Esplanade, Pallarenda","Townsville City Council"
601660,Entered,"Carbrook Lutheran Cemetery","Mt Cotton Road, Carbrook","Logan City Council"
600661,Entered,"Carbrook State School (former)","597-605 Beenleigh-Redland Bay Road, Carbrook","Logan City Council"
600458,Entered,"Carcory Homestead Ruin","Eyre Developmental Road, Birdsville","Diamantina Shire Council"
601768,Entered,"Cardwell Divisional Board Hall (former) and Honour Board","51 Victoria Street, Cardwell","Cassowary Coast Regional Council"
600392,Entered,"Cardwell Post Office - Residence (former)","53 Victoria Street, Cardwell","Cassowary Coast Regional Council"
601308,Entered,"Carlton House","3 Mill Street, Toowoomba","Toowoomba Regional Council"
602751,Entered,"Carmila Cane Lift","49 Hindles Road, Carmila West","Isaac Regional Council"
650272,Entered,"Carpenter Hall House","86 Main Avenue, Wilston","Brisbane City Council"
601901,Entered,"Carroll Cottage","6 Edward Street, Kingaroy","South Burnett Regional Council"
601094,Entered,"Casa Grande","7 Nettle Street, Mount Isa","Mount Isa City Council"
600335,Entered,"Caskey Monument","cnr Mount Coot-tha Road and Frederick Street, Toowong","Brisbane City Council"
601218,Entered,"Castle Hill","Castle Hill Road, Townsville","Townsville City Council"
600491,Entered,"Castleholme Homestead","Bryden - Crossdale Road, Bryden","Somerset Regional Council"
602684,Entered,"Castlemaine Perkins Ltd Building (former)","418-420 Adelaide Street, Brisbane City","Brisbane City Council"
600091,Entered,"Catholic Centre","149 Edward Street, Brisbane City","Brisbane City Council"
600805,Entered,"Cattle House","180 Quay Street, Rockhampton","Rockhampton Regional Council"
602442,Entered,"Centenary Place","85 Wickham Street, Fortitude Valley","Brisbane City Council"
