id,document,tag,content
522,"Greenhill_2022_St Helena, formerly “the hell hole",closing and moving to mainland,"The hardened prisoners were moved to Boggo Road Gaol, built in 1889. By 1920 St Helena was a prison farm. The few remaining prisoners slowly dismantled the ageing buildings. Suitable building materials were taken over to the mainland for recycling. Only a few of the original buildings remain. The cattle were auctioned off on the 22nd of May 1931. The last prisoner left the island on the 15th of June 1933."
618,Keys_2020_Sharing the waterways.pdf.txt,closing and moving to mainland,"after the penal establishment closed, this swimming enclosure was central to thwarted development plans seeking to create a health resort or tourist destination in Moreton Bay"
650,Queensland Government_2015_Saint Helena Island.pdf,closing and moving to mainland,"Following Macdonald’s departure in 1882, his successor, Capt. Townley, reduced the acreage on the island to provide only for the prison’s needs. This crop was subsequently reduced even further, until in 1890 the prison commenced purchasing sugar from external sources. The sugar mill was converted into a laundry and a herd of dairy cattle was introduced to provide milk, butter and cheese for the prison."
653,Queensland Government_2015_Saint Helena Island.pdf,closing and moving to mainland,"Townley enforced a more rigid discipline than McDonald and the harsh conditions on the island soon earned St Helena the nicknames of the ‘hell-hole of the Paci<U+FFFD>c’ and ‘Queensland’s Inferno’, although the press described it as a model prison."
657,Queensland Government_2015_Saint Helena Island.pdf,closing and moving to mainland,"By the early twentieth century conditions had changed once more under the superintendence of James Ryan and visitors to the island extolled its virtues at length. It was described as the ‘pearl of Moreton Bay’ and ‘the garden of beauty’. Such descriptions aroused public interest and in 1912 a campaign was mounted by the Moreton Bay League for the closure of the prison and the conversion of the island into a place of public recreation. The Government quashed this movement by announcing plans for a new, more substantial prison on St Helena, but this did not proceed and in 1921 it was decided to close the prison and make the island a prison farm. Most of the inmates were removed to Boggo Road Gaol and those who remained were occupied with the demolition of most of the gaol’s infrastructure, including fences, stockade walls, workshops and other buildings."
658,Queensland Government_2015_Saint Helena Island.pdf,closing and moving to mainland,In 1933 the farm was closed down and the remaining prisoners were transferred to Boggo Road Gaol.
703,St Helena Island National Park Historic Area.pdf.t,closing and moving to mainland,"Difficulties in managing an island prison, deterioration of structures and changing attitudes to penology led to the downgrading of The penal establishment to a prison farm in 1921 and to eventual closure in 1933 when the remaining prisoners were relocated to Boggo Road Gaol in South Brisbane."
722,St Helena Island_St Helena Island National Park Hi,closing and moving to mainland,"Administrative problems, the new social conscience, prison reform, the potential for a major fire in the aging timber buildings and the lonely isolation of warders from friends and family led to the prison’s closure in 1932. It had operated very successfully for 65 years."
723,St Helena Island_St Helena Island National Park Hi,closing and moving to mainland,"Historical significance was not recognised and so, in 1925, demolition of the buildings began. This work was also done by prisoners and most re-usable materials were taken to the mainland for distribution to other Government institutions."
727,Taylor_2010_Prisons without walls.pdf.txt,closing and moving to mainland,"The First World War put a temporary halt to many public projects across the country, including prison reform. In 1921, however, the prison on the island of St Helena, off the coast of southern Queensland was converted to a prison farm.49 Officials at the time saw change on the island as part of the wave of reform from the south. There had been a large prison on the island since the 1860s, and as part of the conversion, the inmates were put to work dismantling the old cellblock buildings."
730,Taylor_2010_Prisons without walls.pdf.txt,closing and moving to mainland,"prison farm did not last long: it was closed in 1933, following significant public pressure for its removal, so that the island might be re-made into a beauty spot for boaters and picnickers."
734,Taylor_2010_Prisons without walls.pdf.txt,closing and moving to mainland,"In 1924, after a prisoner with a record of violence escaped from St Helena, the Brisbane Sun railed against the Queensland prisons service: ‘This slipshod imitation of a gaol has now been in existence too long, and it is time that it was tightened up … If this thing is to be called a gaol, then let it be something approaching one at least’.9 This was one of a number of sensational escapes in the mid-1920s which fuelled sentiment against the St Helena institution, contributing to its closure in 1933"
768,Unknown - 1919 - St. Helena..pdf.txt,closing and moving to mainland,"Except in the cost of transferring the prisoners to a main land gaol, we cannot see any valid reason for continuing to use the island for its present purpose."
769,Unknown - 1919 - St. Helena..pdf.txt,closing and moving to mainland,"as the Home Secretary himself admits, there is greater cost in the maintenance of an island prison because of the cost of transport and loss of time for officials and other travelling-to and from the place, — to say nothing of inconvenience to mar— ried members of the prison staff."
770,Unknown - 1919 - St. Helena..pdf.txt,closing and moving to mainland,It is understood that the Cotnptrollcr— General of Prisons (Major A. T. Peirson) is in favour of transferring the prison to the mainland.
771,Unknown - 1919 - St. Helena..pdf.txt,closing and moving to mainland,"On the point of expense, Mr. Huxham points out that at present most of the buildings on the island are in a dilapidated and dangerous condition and the cost of a new island prison would be about £120,000 as against only half that sum for the construction of a mainland prison."
794,Whittington_2019_Island groans with its penal past,closing and moving to mainland,"The prison closed in 1932 when, during the great Depression, it simply became unviable to keep it open."
795,Whittington_2019_Island groans with its penal past,closing and moving to mainland,Production had dropped away during World War I when prisoners had to return to the mainland to cover for young men shipped off to the European battle
823,Wimshurst_2012_Intersections in colonial and penal,closing and moving to mainland,"from the 1920s, as men were returned to the metropolis from the deteriorating facility on St Helena and had to be accommodated"
95,08 Sep 1912 - Tyrants of St. Helena.pdf.txt,crops,"hoeing, digging potatoes, wood cutting, etc."
135,09 Nov 1901 - SKETCHER..pdf.txt,crops,so cleverly do the prison authorities arrange matters that St. Helena is practically self-support-ing.
251,20 Mar 1878 - Life at St. Helena..pdf.txt,crops,"It is the penal establishment proper of the colony of Queensland. Over 120 prisoners are at work there, growing sugar cane and making sugar, quarrying, building jetties and works for the purposes of a prison, growing grasses of various kinds, and sweet potatoes and other crops, and mutton for the use of the establishment."
262,20 Mar 1878 - Life at St. Helena..pdf.txt,crops,"There are about 100 acres of arable land, of vol-canic origin, and very fair quality. This is all under cultivation. In all, in little bits of flats, above high water level, around the lower portion of the island may be about 100 acres of grass land; and there may be as much, or more, swamp and boggy flats, covered at high water, and of no particular value until levees and draining wheels are erected-all of which are in the future. There is sufficient good, high, dry land on St. Helena for the purposes to which it is put. Every yard is availed of"
266,20 Mar 1878 - Life at St. Helena..pdf.txt,crops,"Bodies of men are seen at work at the various occupations mentioned, but they do not seem to be dogged or watched as prisoners. From a distance-at which the address, “No. 00 St. Helena Gaol, No. 00,” upon the back and legs of each man cannot be seen they look like ordinary bodies of field and other laborers."
310,20 Mar 1878 - Life at St. Helena..pdf.txt,crops,"various parts of the island cane of every kind that has reached the colony, grasses, and various economical plants, are put to the test by cultivation."
311,20 Mar 1878 - Life at St. Helena..pdf.txt,crops,"Guinea grass is the lead-ing light at present. Some two months since Mr. M’Donald explained in our columns how efficient this grass had been during the dry spell, and his willingness to distribute seed and plants to those who would give the grass a trial."
312,20 Mar 1878 - Life at St. Helena..pdf.txt,crops,"Guinea grass is an enormous bearer. It grows from seeds and roots, but requires cultivation, and is well worth cultivating in the coast districts."
315,20 Mar 1878 - Life at St. Helena..pdf.txt,crops,The system followed is reclamatory and instructive rather than compulsory.
317,20 Mar 1878 - Life at St. Helena..pdf.txt,crops,"Men learn to labor and be useful there, and we have often, and in various parts of the country, met those seen in the first instance at St. Helena who are making the effort, and successfully, to respect the laws, and to labor in honesty for their living.-In this country it is a privilege that no man who has the will and health is too far gone to adopt."
402,31 Jul 1909 - A PAYING PRISON..pdf.txt,crops,"value of work performed by prisoners was £18,860 of which St. Helena was credited with £12,447. At St. Helena the value of the work performed for the State overlaps by a little the total cost of salaries and upkeep. The comptroller states that there are very few prisons in the world of which this could be said"
220,1909_A PAYING PRISON.pdf.txt,crops,"The value of work performed by prisoners was -18,86 of which M Helena was credited with £12,447"
223,1958_Moreton - A Bay of islands.pdf.txt,crops,"a penal settlement for a number of years. It is roughly about 500 acres in area, but much of this consists of mangroves and perhaps a little more than half may be cultivated, some of it being a rich red basaltic soil in which potatoes, lucerne and sugar-cane have been the crops most successfully grown."
408,Alfredson_1983_St Helena Island - A Changing Patte,crops,"1867, when the island became a penal settlement, its topography has been extensively modified by clearing, draining, filling, quarrying and ploughing. The original vegetation of the island was mainly subtropical rainforest."
412,Alfredson_1983_St Helena Island - A Changing Patte,crops,"midden shells which previously overlaid the beachrock were probably burnt in the prison lime kiln. Observation in eroded patches and auger ing have established that the midden extends about 500 m along the beach ridge on which it is located, but it ha& been increasingly disturbed and scattered by roadworks, tramway bedding and ploughing north from the intersection of the beach ridge and the line of the former tramway (Fig. 2)."
431,Bochenski_2013_Painting of St Helena reveals colou,crops,landscape reveals a small bridge from St Helena’s famous long jetty to the jail which no one knew existed. The sparse vegetation on the island’s rolling hills in the painting also shows how much of the island had been cultivated for use.
437,Boggo Road Gaol Historical Society_St Helena Islan,crops,"native vegetation was cleared by the prisoners, who planted crops there. The prison food, including hominy and bread, was obtained by growing wheat, sugar cane and vegetables, and also raising sheep and dairy cattle herds."
456,Brismania_2019_Day 148.pdf.txt,crops,island was also all about making money for the government using free prison labour. The irony was they produced Queensland Police uniforms at one stage.
464,Brismania_2019_Day 148.pdf.txt,crops,"closed in 1932 when, during the great Depression, it simply became unviable to keep it open. Production had dropped away during World War I when prisoners had to return to the mainland to cover for young men shipped off to the European battlefields. In addition, Boggo Road, which had been used as HM Prison for Women, had also been taking male prisoners since 1903."
497,"Department of Environment and Science_2005_Nature,",crops,"The prison era St Helena Penal Establishment was considered a model prison of its time. The superintendent and warders managed a highly disciplined prison, where security was tight and successful escapes were few."
498,"Department of Environment and Science_2005_Nature,",crops,"Distance and isolation enforced basic self-sufficiency. While this came about through necessity, it also resulted in economic profit."
499,"Department of Environment and Science_2005_Nature,",crops,"The early years saw prisoners clearing native vegetation, planting crops and constructing buildings. The island’s resources were used wherever possible - buildings were constructed from sandstone blocks quarried from the southern flats and bricks moulded from island clay mixes. A lime kiln was constructed to burn coral for cement. Maize and vegetable crops, supplemented with sheep and cattle herds, provided much of the island residents’ food requirements. The most successful island produce included sugar cane and award-winning Ayrshire dairy cattle. Olive oil produced from the island’s olive groves also won prizes in Italy."
520,"Greenhill_2022_St Helena, formerly “the hell hole",crops,"By 1900 the St Helena Establishment accommodated 330 prisoners and operated as a self-sufficient unit. The prisoners were taught carpentry, boot making, tailoring, tinsmithing, bread making, and butchery. Vegetables thrived in the rich soil. The sugar mill crushed locally grown sugar. The most successful outcomes were the sugar cane, the growing of olives, and the prize-winning Ayrshire dairy herd, introduced in 1892."
635,Queensland Government_2015_Saint Helena Island.pdf,crops,It is the earliest attempt in Queensland at providing prison facilities which were essentially self-suf<U+FFFD>cient and aimed at providing inmates with the opportunity for self-improvement and rehabilitation.
640,Queensland Government_2015_Saint Helena Island.pdf,crops,"philosophy of prisoner rehabilitation was changing from the earlier ethos of punishment and isolation. The aim was to provide prisoners with a full day of constructive activity and instruction which would equip them with life skills. In addition, the <U+FFFD>nancial strictures of the colony made it desirable for the prison to be as self-suf<U+FFFD>cient as possible. McDonald showed considerable initiative and perseverance in meeting these demands."
646,Queensland Government_2015_Saint Helena Island.pdf,crops,"A further area was devoted to growing maize, sugar cane and vegetables for the prison. Fifty acres were cleared with the intention of planting sugar cane. This was to be processed in a sugar re<U+FFFD>nery on site."
648,Queensland Government_2015_Saint Helena Island.pdf,crops,"One of the most successful early enterprises undertaken on the island was the growing and processing of sugar. McDonald trained himself in the processes involved and the mill was considered something of a wonder in its own right. The crushing rollers were horse-driven and hand fed by the prisoners. The syrup was gravity fed into vats for boiling down and crystallisation. The <U+FFFD>nal product was a <U+FFFD>ne golden coloured sugar of table quality which was used, not only by other government institutions, but was sold commercially. Both cane and sugar won many awards at the annual International Exhibition. The cane served other useful functions on the island, the trash providing fuel for the warders’ <U+FFFD>res."
650,Queensland Government_2015_Saint Helena Island.pdf,crops,"Following Macdonald’s departure in 1882, his successor, Capt. Townley, reduced the acreage on the island to provide only for the prison’s needs. This crop was subsequently reduced even further, until in 1890 the prison commenced purchasing sugar from external sources. The sugar mill was converted into a laundry and a herd of dairy cattle was introduced to provide milk, butter and cheese for the prison."
671,Queensland State Archives_2016_The Not-So-Great-Es,crops,"“At <U+FFFD>rst, prisoners were set to work growing sugar cane, however the cane provided too many hiding places so it was replaced by lucerne and potatoes.”"
700,St Helena Island National Park Historic Area.pdf.t,crops,"limited area of St Helena Island and the increasing needs of the settlement resulted in the conversion of the natural environment into a manicured landscape of gardens, agricultural plots and grassed paddocks."
710,St Helena Island_St Helena Island National Park Hi,crops,"overcrowding in Brisbanes gaols resulted in the conversion of the buildings, originally intended for a quarantine station, into accommodation for prisoners. Prison labour was used for all activities on the island, from the construction of buildings and roadways to growing, processing and cooking of food."
716,St Helena Island_St Helena Island National Park Hi,crops,The Superintendent and the warders ran the prison in a highly efficient manner. For most of the prison’s 65 years; self-sufficiency was a necessity and profit was the product of that efficiency.
745,The Brisbane Courier 1874.pdf.txt,crops,"All the land suitable for cultivation, some seventy acres, is now under sugar cane. A portion - perhaps a third - of this land is good;"
746,The Brisbane Courier 1874.pdf.txt,crops,The island has been stripped of timber; a few trees only of the dense growth that formerly covered it are now standing. They are close to the garden of the Superintendent. A few mangrove bushes still occupy a portion of the low wet land with which the island is surrounded. The high and dry land is covered with cane; and some seven or eight acres of mulberry trees have been planted on steep banks. This total clearing of the island was adopted that there might be no cover for prisoners who attempted to escape.
747,The Brisbane Courier 1874.pdf.txt,crops,"warders can now see clear over the whole place. But this free exposure is bad for the cane. The winds come in unbroken gusts upon it, and have during the past winter converted fully one-half of the entire crop into a tangled mass of damaged and broken cane. All the varieties - Bourbon, Diard, Chigacca, Salan-gore, and Guigham - have suffered from the winds. The ribbon cane alone has withstood the storms, and promises a fair return in sugar."
752,The Brisbane Courier 1874.pdf.txt,crops,"cutting, carting, &c., is also done by prisoners, and with so little apparent supervision that the men differed in no respect from ordinary field hands."
755,Treetops Plantation_2015_The remarkable story of t,crops,"self-funded penal settlement, had a commercial grove of olive trees in the early 1900’s."
756,Treetops Plantation_2015_The remarkable story of t,crops,there is a Helena Olive Tree variety
760,Treetops Plantation_2015_The remarkable story of t,crops,The original Helena Olive was planted in the late 1800�s on St Helena Island
761,Treetops Plantation_2015_The remarkable story of t,crops,"The original olive made its way from Europe to the Island, via a magistrate, and has continued to thrive in the testing Moreton Bay environment."
762,Treetops Plantation_2015_The remarkable story of t,crops,"The Helena Olive will fruit in the South East Queensland climate, which for an olive is impressive in itself."
763,Treetops Plantation_2015_The remarkable story of t,crops,"originally grown on St HelenaIsland in MoretonBay for over the past 100 years, it has truly proved itself to be an outstanding performer for our climate. So successful was this original grove planted out by the warden of the prison on the island at the time that the fruit was shipped back to Italy!"
776,Unknown - 1919 - St. Helena..pdf.txt,crops,"The Home Secretary’s anxiety is for a site offering adequate scope for the carrying on of healthy out-door activities, such as farming, gardening, quarrying, and the like; he is a thorough believer in the open-air treatment of prisoners, and dry stat-istics justify his faith in that treatment as assisting greatly in the reformation of prisoners."
788,Whittington_2019_Island groans with its penal past,crops,The island was all about making money for the government using free prison labour.
807,Whittington_2021_Island of the damned.pdf.txt,crops,"St Helena was good business for the government though, as various pro<U+FB01>table industries were established using the abundant free labour. There were carpenters, bricklayers and masons, quarrymen, shoemakers, saddlers, tinsmiths, and labourers."
816,Wimshurst_2012_Intersections in colonial and penal,crops,government and penal authorities to harness the labour of prisoners in the interests of economy and control.
817,Wimshurst_2012_Intersections in colonial and penal,crops,"St Helena had commenced as a penal establishment in May 1867 and was described as ‘experimental’.53 Some longer term male prisoners were employed on the island in small-scale agriculture and land clearance, but there had always been uncertainty about the type of prisoner to be sent to St Helena, ‘trustworthy’ men or the worst long term cases."
818,Wimshurst_2012_Intersections in colonial and penal,crops,"Decisions were made quickly. The dire condition of colonial finances, combined with concerns for maintaining discipline, settled the future of the penal system for the next fifty years. The government hoped that St Helena could become self-sustaining and perhaps profitable. A range of trades and workshops would be introduced, and for this able-bodied men, preferably with skills, were required. By the time of the report on St Helena (1869), the government’s view was that St Helena should become the premier penal establishment for men. Brisbane Gaol would process"
75,05 Feb 1911 - DE PROFUNDIS..pdf.txt,descriptions,"When the morning for departure come, the little escort is lined up in its drab prison garb and handcuffed in twos on to a long chain such as serves to keep a team of bullocks together."
76,05 Feb 1911 - DE PROFUNDIS..pdf.txt,descriptions,"In “Black Maria” they are conveyed to the Otter, and until they arrive at the St. Helena wharf are objects of callous curiosity, cruel criticism, and malevolent scorn on the part of the virtuous passengers whose sins have not yet found them out."
108,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"a low shore of rather forbidding aspect, and above this a cliff-like rise, with a long building perched on its summit; then, just a little bit to one side a cluster of cornfield; gloom and shadow on the one side, on the other a wavy mass of green, and round the whole the ocean"
109,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"broad-gravelled road that leads up to the Stockade. On the left the ocean sweeps in semicircularly, on the right is a grassy upland,"
110,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"a lofty stockade, massively built, and beside this appears a sentry-box on stilts, holding in-side a watchful warder, who stands close beside his loaded carbine. A little further on is a heavy iron gate leading into the interior of the prison, with three warders looking through the bars."
111,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"not by any means a modern prison, for instead of being circular and all the passages leading to a common centre, it is oblong, and the different ways con-verge only on the gate."
113,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"A second iron gate folds back, and we are ushered into a little courtyard, then turn to the right, and proceeding along a veranda, arrive at a big building"
114,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"It is divided into two long rooms, separated by a wooden partition. In the first room is a babel at conflicting sounds. There is the banging of hammers, the zir-r-r of flying machinery, and the click of tools. On the left are bootmakers, and on the right saddlers, brushmakers, and bookbinders."
115,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"Rows of quiet men, in the regulation prison suits stamped with the broad arrow, and numbered one, two, three, or four as the case may be, are busily engaged in sewing and cutting leather, controlling machines, &c. Each has something to do, and a warder stands ready to admonish or instruct."
116,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"This la what we call a pressing machine,” he says, showing us a little metal stamper; ” it makes an ordinary flap of leather into imitation pigskin. You notice that the leather is placed on a copper plate with a raised surface, then the top jaw comes down, and the leather is covered with tiny holes that make it look just like pigskin with the bristles taken out.”"
117,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"Another instrument, euphonious-ly termed the “Devil,” is used for teasing out doe hair, to be used in stuffing saddles. The rough coarse hair is put in at one end, number so-and-so turns a handle, and a ball of silky filaments comes out at the other. Close beside this are the finished saddles, and they compare very favourably with the work of Brisbane saddlers."
118,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"Turn-ing to the bootmakers, we watch for a moment or two the ordered activity before us. Again machinery is very much in evi-dence —namely, a “stamping” machine, which, operated by a treadle, brings a sharp-edged cutter on to the leather placed upon it, and cuts out innumerable soles and heels, the size varying with the dimensions of the cutter; and a pair of heavy rollers for hardening and levelling the leather required for the boots."
125,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"we start off round the benches, seeing first the novices at work making their own shirts and other garments. Then come the more learned mem-bers of the profession, who are sewing away at some rough tweed, making garments for the pensioners at Dunwich and Goodna, and like happy places. Alongside of these are men who have thoroughly learned their trade, and are employed mak-ing greatcoats of blue venetian cloth for the warders and police."
127,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"“Do you notice these long white slips of cloth?” queries the warder. “They are to be made into slippers for use in this room. The tailors take off their heavy boots when be-ginning work of a morning, and put on these slippers."
128,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,we turn out about 2000 flannel shirts every year.”
130,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"The tinshop is long and most of the avail-able space is filled up with tanks, buckets, tins, &c, in and around which four men are dodging with redhot irons, and formidable hammers."
132,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"In one corner a smith is lit up by the ruddy glare from a forge, and he looks very fearsome as he bends a dirt-grimed face over the redhot coals. Next inspected are two labour-saving machines, one a curving machine for bending corru-gated iron, and the other a guillotine for cutting up tin."
133,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"ranging in capacity from 100 to 1400 gallons, turned out entirely by prison labour. A water-proof paint, made of pitch and red oxide does away with tha chance of lead poison-ing."
136,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"we wan-der through into an adjoining yard, and visit the premises occupied by the blacksmiths and carpenters."
139,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"In the en-circling yard may be seen a coal shed, and a place for storing up the carpenters’ wood, also a long array of moleskins, blue jumpers, and such like dainty garments, strung out on clothes’ lines."
140,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"The kitchen, situated near one corner of the stockade, looks like an immense laundry with the thick clouds of steam rising from the boilers placed at one end, and heated by a big fire."
141,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"In one boiler is “hominy,” or maizemeal, thick and white, and very appetising—to those that like it. In another great steam can is meat, and a third holds a plentiful supply of soup for the coming Wednesday."
144,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,Food is issued in mess-tins that hold provisions for five or six men.
145,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"Next to the kitchen is the bakehouse, and the white-capped and clean-aproned baker in charge is liter-ally between two fires, since he does his work sandwiched in between a pair of huge ovens. Here all the bread for the prison is baked, and the tables are piled up with crisp brown loaves, that look very tempting to a hungry Pressman."
146,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"Outside is the wood house, up to which a trolly runs, in order to convey bread, wood, &c., to the various prison yards. More interesting still is a tank with cleverly contrived pipes. Into this big re-ceptacle all the waste water and rubbish is thrown, and bubbling along the sewage pipes, shoots out into the waves far below."
147,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"Though small, the walls are snowy white, and the place reeks of cleanliness."
148,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,The ventilation is as nearly perfect as human skill can make it. A wall shute off the meat-curing estab-lishment from the hospital enclosure
149,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"A wall shute off the meat-curing estab-lishment from the hospital enclosure; on the top of this wall we notice another sentry, armed like the first one with rifle, bayonet, and revolver."
150,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"He presses down a rod, and a gap appears in the solid partition in front. Passing through, we examine with some amount of curiosity a kind of triangular roof appearing above the ground. Mr. Bowden lifts off this covering, and we look down into a big underground tank, dome-shaped, 22ft. in depth and 18ft. in diameter."
151,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"A garden ablaze with colour, with lovely lily sprays, and climbing roses, and a dozon other sorts of flowers, with the smell of the green fields still clinging round it, stands out gem-like in the dark setting around. As we drift, rather than walk, through this fairy bower towards the cottage in the background, our worthy guide informs us that we are now standing in the hospital garden, on the way to the hospital. A prisoner stands at the door, and his hand rises mechanically to the salute. At present the ward is empty, and the twelve beds are folded up neatly"
152,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"Everything has a spick and span appearance, and the breeze blows un-checked through the windows and out at the door. We are then shown an enamel-led iron bath set on wheels, used t0 bathe sick prisoners in."
153,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"Dr. Wray, the Government Medical Officer, comes down once a week to visit the prisoners and see that everything is as it should be. He is usually accom-panied by the visiting Justice, Mr. Yard-wyn, who hears any complaints the men may have to make."
154,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"In Dr. Wray’s absence Mr. Henry, one of the warders, looks after the dispensing."
155,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"If a convict is sick, give him a dose of “white mixture” —this is quite sure to keep him going. If the sick man happens to be a warder, give him two pills of podophyllin; should he not feel better, give him another two. Un-fcrtunatoly, however, a warder is mostly born without any sense of humour, and as four pills are nearly as bad as a dose of ‘“white mixture,” Mr. Henry has to be an expert dodger."
156,09 Nov 1901 - SKETCHER..pdf.txt,descriptions,"“Come along and see the cells and the prison-yards,” says the chief warder; then wo plunge from the light into semi-dark-ness, into the very heart of the prison."
175,12 Feb 1911 - DE PROFUNDIS..pdf.txt,descriptions,"There are some six yards within the stockade in which prisoners are placed during the day-time, either according to the work they are doing or to their classification"
180,12 Feb 1911 - DE PROFUNDIS..pdf.txt,descriptions,"Big brick walls separate the yards. At each end are fences of high iron girders, with about six inches between them"
181,12 Feb 1911 - DE PROFUNDIS..pdf.txt,descriptions,"At each end are fences of high iron girders, with about six inches between them, through which a good-sized tin can be passed. These tins are attached to strings, and swing round the end of the brick walls furthest from the watching officials, filled with tea, and swing back again."
183,12 Feb 1911 - DE PROFUNDIS..pdf.txt,descriptions,The men feed in messes of five or six individuals.
251,20 Mar 1878 - Life at St. Helena..pdf.txt,descriptions,"It is the penal establishment proper of the colony of Queensland. Over 120 prisoners are at work there, growing sugar cane and making sugar, quarrying, building jetties and works for the purposes of a prison, growing grasses of various kinds, and sweet potatoes and other crops, and mutton for the use of the establishment."
261,20 Mar 1878 - Life at St. Helena..pdf.txt,descriptions,"St. Helena is seen, a literal gem of green in Moreton Bay. The island is not large."
262,20 Mar 1878 - Life at St. Helena..pdf.txt,descriptions,"There are about 100 acres of arable land, of vol-canic origin, and very fair quality. This is all under cultivation. In all, in little bits of flats, above high water level, around the lower portion of the island may be about 100 acres of grass land; and there may be as much, or more, swamp and boggy flats, covered at high water, and of no particular value until levees and draining wheels are erected-all of which are in the future. There is sufficient good, high, dry land on St. Helena for the purposes to which it is put. Every yard is availed of"
263,20 Mar 1878 - Life at St. Helena..pdf.txt,descriptions,"Shallow banks extend out from the island all around. Beyond the shallows are deep channels-flats and shallows are lively with sharks, the outside “guards” of the place"
