Key,Item Type,Publication Year,Author,Title,Url,Abstract Note,Date,Short Title,Series,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Manual Tags,Automatic Tags,Medium,Artwork Size
YHIQJNCE,artwork,2017,"Rasputin, Comrade",Model of St Helena prison,"https://www.google.com/maps/contrib/118157579939035149773/place/ChIJ9Y6M4bvfk2sRYR0zJAUUySk/@-27.3916667,153.2327778,3a,75y/data=!3m8!1e2!3m6!1sAF1QipPE1MkAGxitb-jsvA0qRORrHq8fDDHXGbe16WOd!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPE1MkAGxitb-jsvA0qRORrHq8fDDHXGbe16WOd%3Dw520-h260-k-no!7i4160!8i2080!4m6!1m5!8m4!1e2!2s118157579939035149773!3m1!1e2",Shows the prison in 3d,2017,Model of St Helena prison,,Google Maps,Unknown,Comrade Rasputin,Unknown,"<a href=""https://imgur.com/McteAeq""><img src=""https://i.imgur.com/McteAeq.png"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a 3d model of the prison. It is detailed, as there are cows in a paddock, three garden beds, and men on the tram line. It is behind glass, so the view is not clear. </p> <p></p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/McteAeq.png"" alt="""" data-attachment-key=""HLXQLTRR"" width=""1767"" height=""856""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>It is a 3d model of the prison. It is detailed, as there are cows in a paddock, three garden beds, and men on the tram line.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To share with others and make sure history is not forgotten and learn about life in the jail. It shows how the prison was sectioned and how big the stockade was.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is spontaneous, as a person was walking on a tour.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The photo itself is modern. The photo is coloured and clear. The stockade is from around 1930s when the penal establishment closed.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The model is the focus. The glare off the glass makes it hard to see well.</p> </div>",C:\Users\Trudy\Zotero\storage\A4SFY3QW\data=!3m8!1e2!3m6!1sAF1QipPE1MkAGxitb-jsvA0qRORrHq8fDDHXGbe16WOd!2e10!3e12!6shttpslh5.googleuse.html,museum; Queensland; St Helena; Moreton Bay; prison; island; stockade; warder; buildings; road; plan; model; superintendant; paddock; tram; 3d; vegetable; guard tower; behind glass,,"photo, coloured",w402xh377
D4V6TVBT,artwork,1893,Moreton Bay Police,Mug shots of prisoners associated with the Barcaldine Shearers' Strike,https://ehive.com/collections/3606/objects/553427/mug-shots-of-prisoners-associated-with-the-barcaldine-shearers-strike,"Mug shots of prisoners associated with the Barcaldine Shearers' Strike 1891, who were released from St Helena Island prison July 1893. Andrew Irvin and John Jeffries (alias Johnson)",1893,Prisoners associated with the Barcaldine Shearers' Strike,,Queensland Police Museum,PM0331b,Police Museum,PM0331b,"<a href=""https://imgur.com/2lxIOHY""><img src=""https://i.imgur.com/2lxIOHY.jpg"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a mugshot of two prisoners. The image contains their names, alias, and release details. The numbers 106 and 107 could be their prisoner numbers or their rank among released prisoners. They appear to have the same jacket on, and both are wearing white underneath. One a white button-up shirt, the other a neckerchief. Both have beards which fits the time period. The man on the right has piercing eyes and appears older than the other man, but it may just be his wilder beard. Both men seem to be leaning toward my left.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/2lxIOHY.jpg"" alt="""" data-attachment-key=""M2J9CNS7"" width=""800"" height=""631""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>A photo of a document from the Queensland Police Museum with two men’s mugshots.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>It is the release card of two men associated with the industrial dispute of 1891, the Barcaldine Shearers' Strike (Queensland State Archives 2021).</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is planned as it’s a purposeful photo of a page of a book.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>1891 as it is written on the form.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>It is a photo of a page in a book.</p> </div>",C:\Users\Trudy\Zotero\storage\NCK3YT2C\Moreton Bay Police - 1893 - Mug shots of prisoners associated with the Barcald.html,Queensland; St Helena; Moreton Bay; prison; island; mug shot,,"photo,  b&w",w518xh411
EQPX9NF7,artwork,1920,Brisbane City Council,"North cell block, St Helena Island, 1920s",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23294/0,"Evidently still in use as the grounds, flag and thick door on the front indicate.",1920,North cell block,,Brisbane City Council,asset 23294,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-0021.jpg,"<a href=""https://imgur.com/Rvsgfto""><img src=""https://i.imgur.com/Rvsgfto.jpg"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that the building looks like a workplace or a farm building. </p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/Rvsgfto.jpg"" alt="""" data-attachment-key=""RF9HCXFJ"" width=""4488"" height=""2598""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are five doors down the side of the building and a more decorative curved door at the end. It looks that down the side of the building there is a high window above every low window and door. Tools look to be leaning against the wall. A small tank sits at the far end of the building but there is no vegetation, or people, to be seen. The end of the building, in the foreground, looks to me to be an addition as it does not fit with the rest of the building. There is a taller section of the building which has a decorative verandah and looks to have bars on its windows. There is a flag at full mast indicating that there are people in or around the building.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>I think it was taken just to show other people what’s at St Helena.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It’s hard to tell. The photo could have been both.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>It is hard to say. I can’t see the flag which may have helped, and there are no people.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The photo was taken to make the building the focal point. The shot was set up to make sure the entire building was captured. Maybe the out-of-place part of the building in the foreground was a point of interest because the building could have been shot in other positions.</p> </div>","C:\Users\Trudy\Zotero\storage\L99DCU2G\Brisbane City Council - 1920 - North Cell Block, St Helena Island, 1920s.html",Queensland; St Helena; Moreton Bay; prison; island; building; cell,,"photo,  b&w",w309xh179
LFUD7Y3E,artwork,1915,Brisbane City Council,"Old signal gun, St Helena Penal Establishment 24 pounder",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23136/0,"In November 1867, a 24 pounder signal cannon was brought to the island and positioned near the superintendent's cottage.   This was fired into the bay to attract the attention of the mainland in the event of an escape.",1915,Old signal gun 1915,,Brisbane City Council,asset 23136,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-48,"<a href=""https://imgur.com/bsxPan4""><img src=""https://i.imgur.com/bsxPan4.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0048.jpg (JPEG Image, 5078 × 3896 pixels) – Scaled (13%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that the first thing I see is a smartly dressed man standing by a cannon. I cannot tell if the canon is in use, as I cannot see any ammunition around it. The cannon appears to point through a gap in a hedge, bamboo, or line of tree foliage. Behind the man, fruit trees stand between him and a building. Beside the man stand two large, and presumably old, Norfolk Pines.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/bsxPan4.jpg"" alt="""" data-attachment-key=""PRQDYKBT"" width=""5078"" height=""3896""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are Norfolk Pines, a smartly dressed gentleman, a cannon, fruit trees, a building, and some type of hedging, maybe bamboo.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>It may have been taken as a memento, or the cannon may have been being removed.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>The man is merely posing with the cannon as he is not dressed to load and fire it. He would also be of too high of social standing to do so I think, from his outfit.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>I think the image is from around the late 1800s to just after the turn of the century. The man has a bowler hat on, carries a cane/stick, and is wearing a three-piece suit. He is wearing fashion from around the 1870s (Matthews 2016) and is sporting a moustache that fits the time period. Also, the cannon must have been unused from around the turn of the century as in a newspaper article from 1916 they refer to it as historic and obsolete (Unknown 27 November 1916). It may have become obsolete around the turn of the century as phone exchanges reached Brisbane in the late 1880s (Miller 2013).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The man and the cannon are the focus of the image. In the background, there are some fruit trees and a building, which seem to have nothing to do with the photo.</p> </div>","C:\Users\Trudy\Zotero\storage\EZUYG3WL\Brisbane City Council - 1915 - Old signal gun, St Helena Penal Establishment (24 .html",Queensland; St Helena; Moreton Bay; prison; island; escape; cnnon; mainland; Norfolk pine,,"photo,  b&w",w233xh179
GLZI2G82,artwork,1878,"Winn, Charles",Only nown painting of St Helena Island as a working prison,http://treetopsolives.com.au/news/2015/7/6/history-of-olives-in-australia,"In 2013, a local Brisbane resident, Trisha Anderson, discovered this watercolour wrapped up in plastic and towels hidden in a wardrobe of her Hendra home. Her grandfather, William Gall, was a comptroller of the Queensland prisons in the late 19th and early 20th centuries. One of his jobs was to regularly travel to and inspect St Helena Island...the painting was presented to him when he retired in the early 1920's. She later learned that this is the only painting of St Helena Island in existence.",1878,Watercolour of St Helena,,Museum of Brisbane,Unknown,Unknown,Unknown,"<a href=""https://imgur.com/MggxBgR""><img src=""https://i.imgur.com/MggxBgR.jpg"" title=""source: imgur.com"" /></a> could not locate on the museums website.","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a colourful painting.It looks like it is a large farm.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/MggxBgR.jpg"" alt="""" data-attachment-key=""ZKAKZGBE"" width=""729"" height=""200""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>A body of water, a long jetty, a sailboat, and birds flying low over the water. People are depicted at work as there is smoke coming from a large industrial-looking building. There are paddocks, showing different things being grown in each one. &nbsp;</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>I think it was painted in a prisoner’s free time. From boredom or possibly as a memento, or gift. It is said to be “the only painting of St Helena Island as a working prison, as painted by an inmate” (Bochenski 9 December 2013), according to historians.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is a painting.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>It is hard to put a date on it but appears early because of the buildings, and there is no tram line, which was built in the latter part of the 1870s (Queensland Government 2015).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The body of water, birds, sailboat, and jetty is in the foreground. This could be because this is the first glimpse of the island you get from the boat, or the artist finds it softens the painting of a penal establishment. The paddocks and buildings in the background appear more like a farm than penal establishment.</p> </div>",C:\Users\Trudy\Zotero\storage\K4EHS259\Winn - 1878 - Only painting of St Helena Island as a working pri.html,museum; Queensland; St Helena; Moreton Bay; prison; island; buildings; boat; jetty; painting; working; watercolour; Charles Winn; rare; olives,,watercolour,w729xh200
RC4JRT57,artwork,1870,National Library of Australia,"Penal station at St. Helena, Moreton Bay, Queensland",https://catalogue.nla.gov.au/Record/1890845,"Penal station at St. Helena, Moreton Bay, Queensland",1870,St Helena penal station 1870,,National Library of Australia,obj-135253360; Bib ID 1890845; R4095.,NLA Digital Collection,PIC R4095 LOC2111,"<a href=""https://imgur.com/6jOkVIg""><img src=""https://i.imgur.com/6jOkVIg.png"" title=""source: imgur.com"" /></a> Exhibited: Museum of Brisbane, 'The Many Lives of Moreton bay', 14 February - 30 November 2014","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is the artist’s interpretation of St Helena as there are no hills/mountains on the Island or surrounding it to the best of my knowledge. The sketch looks peaceful with a sailboat on the water, small ripple-like waves, and abundant vegetation. The artist has included some buildings and a vertical cylindrical shape which is above and slightly to the left of the boat. It towers above the trees, so I am not sure if it is a chimney or something else.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/6jOkVIg.png"" alt="""" data-attachment-key=""BHJ2PPET"" width=""613"" height=""418""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>A sketch of the artist’s interpretation of St Helena.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>An interpretation of St Helena.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is planned as it’s a hand sketch, someone has hand sketched it.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>It is very early, maybe early 1860s, as there has not yet been any clearing of the trees and only a handful of buildings.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>It is a hand-drawn sketch.</p> </div>","C:\Users\Trudy\Zotero\storage\YHDFH4D5\National Library of Australia - 1870 - Penal station at St. Helena, Moreton Bay, Queensla.html",Queensland; St Helena; Moreton Bay; prison; island; drawing; pencil; picture,,pencil drawing; 18.7 x 27.6 cm,w130xh90
FX7DZ4E5,map,1887,Queensland Parliament Legislative Assembly,"Plan of the island of St. Helena, H.M. Penal Establishment, Queensland",http://nla.gov.au/nla.obj-232189719,Plan of St. Helena From: Votes and proceedings of the Legislative Assembly during the session of 1887.  Includes reference table to buildings.,1887,Plan of St Helena 1887,,Maps,"Bib ID 	2562383",National Library of Australia (new catalog),Unknown,"<a href=""https://imgur.com/gdwNAvy""><img src=""https://i.imgur.com/gdwNAvy.jpg"" title=""source: imgur.com"" /></a> Medium: cartographic material Num Pages: 1","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a detailed plan. It is colour coded and clearly labelled. There is a north arrow, scale, and legend. It shows what was being grown on the island, and where all the buildings were located. It’s quite easy to understand.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/gdwNAvy.jpg"" alt="""" data-attachment-key=""QNZ95XHC"" width=""123"" height=""154""></p> </div>; Plan of St. Helena From: Votes and proceedings of the Legislative Assembly during the session of 1887, being the Fifth session of the ninth Parliament; with the various documents connected therewith ... / Queensland Legislative Assembly. Vol. 1. Brisbane : By authority James C. Beal, Government Printer, 1887 Includes reference table to buildings; <div data-schema-version=""8""><h3>Structured reflection</h3> </div>",,cemetery; Moreton Bay; Sugarcane industry; island; stockade; buildings; export; plan; sugar; colour; corn; sweet potato; cane; lucerne; paddock; sheep; pig; couch grass; quarantine; layour; boat house; jetty; tram,Prisons; Maps; Queensland St. Helena Island; St. Helena Island (Qld.),,na
U69LYZGB,artwork,2020,"Cooper, Cathy",Prison cell,https://www.google.com/maps/uv?pb=!1s0x6b93dfbbe18c8ef5%3A0x29c9140524331d61!3m1!7e164!15sCgIgAQ&hl=en&viewerState=ga&imagekey=!1e10!2sAF1QipOjxYz9FzSt2YTDv3aYUnhtDeYoYqC_hVA5gm0,An insight into the prison cells Locked in cell from 6pm until 6am,2020,Prison cell,,Google Maps,Unknown,Cathy Cooper,Unknown,"<a href=""https://imgur.com/rFROSnQ""><img src=""https://i.imgur.com/rFROSnQ.png"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that the room is very small. The hammock takes up almost all space. The bars on the door lead me to believe this is a cell to confine someone. I also noticed straight away how thick the metal is.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/rFROSnQ.png"" alt="""" data-attachment-key=""4HZ8Q2L2"" width=""1173"" height=""858""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There is a hammock and a cell door with iron bars.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To appreciate how the prisoners lived in the past and to share with others. Cells were either 4ft x 9ft or 5ft x 9ft (Unknown 23 April 1905).</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is staged, as it is in a museum.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The room being photographed…The heavy-looking door and timber walling make me think it is from an earlier time period.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The heavy timber door separates the photographer from the room inside, only able to peer through the iron bars. The room is empty but for a hammock, however, around 1911 furniture started to be introduced &nbsp;(Unknown 21 October 1911).</p> </div>",C:\Users\Trudy\Zotero\storage\E36AC9L2\uv.html,Queensland; St Helena; Moreton Bay; prison; island; building; cell; hammock; bars; door; solitary; confined; punishment,,"photo, coloured",w406xh511
3QPQWML5,artwork,2017,"Rasputin, Comrade",Prisoner's private life,"https://www.google.com/maps/contrib/118157579939035149773/place/ChIJ9Y6M4bvfk2sRYR0zJAUUySk/@-27.3916667,153.2327778,3a,75y,90t/data=!3m7!1e2!3m5!1sAF1QipPhELwrbKOpjWXDdVuzfeJVVsgDpBxiyW1Wbxtl!2e10!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPhELwrbKOpjWXDdVuzfeJVVsgDpBxiyW1Wbxtl%3Dw520-h260-k-no!7i4160!8i2080!4m6!1m5!8m4!1e2!2s118157579939035149773!3m1!1e2",An insight into a prisoners life,2017,Prisoner's private life,,Google Maps,Unknown,Comrade Rasputin,Unknown,"<a href=""https://imgur.com/ggthrk7""><img src=""https://i.imgur.com/ggthrk7.png"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a not clear image of an information board on a timber wall. There are pictures and schedules, a rations list, and information. It is a good insight into the prisoners lives.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/ggthrk7.png"" alt="""" data-attachment-key=""MXQDCRAT"" width=""1606"" height=""838""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>It is an information board on a timber, tongue and groove wall.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To share with others and make sure history is not forgotten and learn about life in the prison. It shows how the prisoners lived, ate, and played. The prisoners complained of being not given the correct amount of meat (Unknown 23 April 1905), so maybe this was the case with other rations, the board may not indicate actual amounts.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is spontaneous, as a person was walking on a tour.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The photo itself is modern but the weights and measurements indicate the information is from an earlier time, from before 1932 when the prison closed.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The information board is the focus. It is a little fuzzy but I can make out most of the information.</p> </div>",C:\Users\Trudy\Zotero\storage\R9STJALW\data=!3m7!1e2!3m5!1sAF1QipPhELwrbKOpjWXDdVuzfeJVVsgDpBxiyW1Wbxtl!2e10!6shttpslh5.googleusercont.html,Queensland; St Helena; Moreton Bay; prison; island; food; escape; punishment; buried; day to day; activities; schedual; rations; time; routine; daily; entertainment; consequences; prisons act; gambling; dominoes; cards; betting; rectreation; quoits; chess; draughts; reading; devine servioce; letters; petitions; death; release,,"photo, coloured",w402xh377
AAZRX5G7,artwork,2017,"Nawaz, Fahad",Punishment list,https://www.google.com/maps/uv?pb=!1s0x6b93dfbbe18c8ef5%3A0x29c9140524331d61!3m1!7e164!15sCgIgAQ&hl=en&viewerState=ga&imagekey=!1e10!2sAF1QipNkrCWnbz_7BD-3heYoc0e89f0xVFNFgEKHb3Z2,"List of punishments, for what and who ordered",2017,Punishment list,,Google Maps,Unknown,Fahad Nawaz,Unknown,"<a href=""https://imgur.com/pkJbBOc""><img src=""https://i.imgur.com/pkJbBOc.png"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a photo of an item placed on a wall. The statistics are given from the minutes of evidence taken before the select committee (stated on the right of the picture, at the bottom). It has John Macdonald, Superintendent printed at the bottom. Does this indicate these events took place while John Macdonald was superintendent? </p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/pkJbBOc.png"" alt="""" data-attachment-key=""A3SDMYN3"" width=""1500"" height=""856""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There is an information board hung on a wall.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To share with others and make sure history is not forgotten and learn about life in the jail. The information given is regarding punishments given for breaking prison rules between 1867 and 1869. Prisoner names are listed, what the offence was, the punishment given, the date, and by whom the punishment was awarded by.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is spontaneous, as a person was walking on a tour.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The photo itself is modern. The photo is coloured and clear. The information is from around 1870, as that’s the period recorded. You can also tell by the punishments that were delivered. The prisoner who broke the rules the most was James English. Henry Wheeler was punished for “singing in ward”. The most favoured punishment was solitary confinement - locked in a small, dark, solitary cell for 23 hrs a day (Unknown 23 April 1905) - and the year with the most punishments was 1868.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The sign is the focus.</p> <p></p> </div>",C:\Users\Trudy\Zotero\storage\JSV9S27X\Nawaz - 2017 - Punishment list.html,Queensland; St Helena; Moreton Bay; prison; island; warder; punishment; irons; isolation; superintendant; crime; years,,"photo, coloured",w406xh406
UVJUXCPW,artwork,1912,Brisbane City Council,"Saddler's shop, H.M. Penal Establishment, St Helena",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23143/0,The workshops were established within the stockade by 1879.   Long term prisoners were taught a trade in the workshops while short-term prisoners worked in the fields.  The island was largely self-sufficient and excess items were sold to government departments.   The boot-makers and saddlers produced a range of items from shoelaces to saddles.   Government regulations did not allow photographing prisoners' faces,1912,Saddler's shop 1912,,Brisbane City Council,asset 23143,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-47,"<a href=""https://imgur.com/RRbWK3v""><img src=""https://i.imgur.com/RRbWK3v.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0047.jpg (JPEG Image, 5078 × 3896 pixels) – Scaled (13%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a place of work or training. The men have their backs to the camera, with one man having the word tea, however, when looking closer it is actually a number, 183 or 180 with a strike through it. Another number, 56 possibly, has been placed under this. &nbsp;</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/RRbWK3v.jpg"" alt="""" data-attachment-key=""42NEHCLH"" width=""5078"" height=""3896""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There is a mallet and a variety of other tools, and prisoners. There look to be lots of leather straps/strips and stirrups. Each workstation appears to have an identical tool board, with a number and the word saddler. So, they are making saddles.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>I think the photo was taken to show the kinds of work and skills training the prisoners undertake</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>I think the photo is staged as the men have their backs to the camera. The man in the foreground looks as though he is sitting and waiting for it to be done.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>I think it is sometime before or around 1882 as the grinding wheel would indicate no electricity. Also, there are no lights hanging from the roof. I say before or around 1882 because electricity was supplied to Brisbane in 1882 (Scholz Electrical 2021).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>It looks as though the photographer has purposefully avoided capturing the rest of the room. The focus is on the first three men in the foreground. The man in the foreground has his tools spread on the bench so they are clearly visible.</p> </div>","C:\Users\Trudy\Zotero\storage\XMN47WYD\Brisbane City Council - 1912 - Saddler's shop, H.M. Penal Establishment, St Helen.html",Queensland; St Helena; Moreton Bay; prison; island; tools; saddle; leather,,"photo,  b&w",w233xh179
AYBYABFV,artwork,2012,"Gray, Judi",Saint Helena Island prisoner cemetery,http://beyondourpatch.blogspot.com/2012/05/tour-of-saint-helena-island-ex-convict.html,"Prisoners Cemetery at St Helena Island.  Only prison numbers are listed on their crosses; prisoners had no right to their names.  The crosses all face the bay overlooking Brisbane, to enforce the fact that they were never going to leave or escape the island and signify the freedom of the mainland that they had lost.",2012,Saint Helena Island Prisoner Cemetery,,Blogger,Beyond Our Patch - Australian Birds Environment Wildlife Travel & Conservation,Blogger,Unknown,"<a href=""https://imgur.com/gwqDRjk""><img src=""https://i.imgur.com/gwqDRjk.jpg"" title=""source: imgur.com"" /></a> Beyond Our Patch is a a blog record of our Wildlife and Australian Travel experiences that are beyond our own backyard.","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is of a cemetery. All the headstones/crosses are the same. Same dimensions, and the same material. The image shows a partial area of the cemetery, not the whole of it. The crosses appear to be stone or cement and are discoloured. Due to the discolouring, and shadow, I cannot see any identifying details etched onto the cross of who is buried there. Perhaps they are for display purposes only, to set the scene if you will. I count around 38 crosses.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/gwqDRjk.jpg"" alt="""" data-attachment-key=""AD3GIJIA"" width=""640"" height=""384""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are trees, grass, a white picket fence and grave crosses made of cement or stone.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To share with others and make sure history is not forgotten.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is spontaneous, as a person was walking on a tour.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The photo itself is modern. The photo is coloured and clear.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The photo tries to show as many grave crosses as possible. The fence in the background shows that in death they were still fenced in. in 1878 there were already 12 prisoners buried in the prisoners cemetery (Unknown 20 March 1878).</p> </div>",C:\Users\Trudy\Zotero\storage\DKHPSNNJ\Gray - 2012 - Saint Helena Island (Ex-Convict Prison) Prisoner C.html,Queensland; St Helena; cemetery; Moreton Bay; prison; island; cross; fenced; no names; nameless; buried; dead,,"photo, coloured",w640xh384
